track_id,title,artist,duration_sec,bpm,style,key,source
f76b70d68c00d978,01 The Edge,,196.021,112.35,,,data/raw/01 The Edge.aiff
971da13a2bfa5f02,03-Daniel_Avery_-_Movement,,384.604,120.19,,,data/raw/03-Daniel_Avery_-_Movement.aif
b6d652efacce9b29,05 Smoke (feat. Jamie xx),,228.808,136.0,,,data/raw/05 Smoke (feat. Jamie xx).aiff
e93bfb1b39c3e9c2,3kelves - Asha Bhosle - Disco Station (onemohit x 3kelves edit),,360.0,123.05,,,data/raw/3kelves - Asha Bhosle - Disco Station (onemohit x 3kelves edit).aiff
a749c305f32f7d51,AIROD - Rave Cycle (Original Mix),,328.51,129.2,,,data/raw/AIROD - Rave Cycle (Original Mix).mp3
7692c44fb5af946e,AVG - AY AY (Original Mix),,284.247,123.05,,,data/raw/AVG - AY AY (Original Mix).mp3
392736d37a8a005c,Ahadadream - Hydration (Original Mix),,197.538,129.2,,,data/raw/Ahadadream - Hydration (Original Mix).aiff
35d013fde0ded7f3,Ahadadream - Peak (Original Mix),,252.866,126.05,,,data/raw/Ahadadream - Peak (Original Mix).aiff
ed357b79a6619228,Ahoona - Desert Storm (Original Mix),,404.0,120.19,,,data/raw/Ahoona - Desert Storm (Original Mix).mp3
ce1a8753825f8296,Aleem - Eats Everything - Fries With That- (Unmixed) - 24 Filtri Organi (Main Mix),,484.0,126.05,,,data/raw/Aleem - Eats Everything - Fries With That- (Unmixed) - 24 Filtri Organi (Main Mix).aiff
0baf390d03731f62,"Anish Kumar - Come On, Let's Get It",,259.222,126.05,,,"data/raw/Anish Kumar - Come On, Let's Get It.aiff"
1614e51dbcad0e5c,"Anish Kumar, Hagop Tchaparian - Part II (Original Mix)",,297.323,126.05,,,"data/raw/Anish Kumar, Hagop Tchaparian - Part II (Original Mix).mp3"
d8cc780731a1d437,Anthony Naples - Perk (Original Mix),,329.916,126.05,,,data/raw/Anthony Naples - Perk (Original Mix).aiff
794ea44463ede6fd,Arun Verone - Eats Everything - Fries With That- (Unmixed) - 04 The Coming (Keep It Coming),,401.28,126.05,,,data/raw/Arun Verone - Eats Everything - Fries With That- (Unmixed) - 04 The Coming (Keep It Coming).aiff
c10093542654c307,Asa Moto - Twee Dikke Nekken,,375.372,132.51,,,data/raw/Asa Moto - Twee Dikke Nekken.aiff
